c1a_c1b_s1_y1,ifn_a_CpG_0,ifn_a_CpG_1,ifn_a_CpG_3,ifn_a_LPS_0,ifn_a_LPS_1,ifn_a_LPS_3,ifn_a_PG_0,ifn_a_PG_1,ifn_a_PIC_0,ifn_a_PIC_1,ifn_a_PIC_3,ifn_a_RSV_0,ifn_a_RSV_1,ifn_a_RSV_3,ifn_a_RV_1,ifn_a_RV_3,ifn_g_CpG_0,ifn_g_CpG_1,ifn_g_CpG_3,ifn_g_CR_0,ifn_g_CR_1,ifn_g_CR_3,ifn_g_DM_0,ifn_g_DM_1,ifn_g_DM_3,ifn_g_LPS_0,ifn_g_LPS_1,ifn_g_LPS_3,ifn_g_MAB_1,ifn_g_MAB_3,ifn_g_PG_0,ifn_g_PG_1,ifn_g_PG_3,ifn_g_PHA_0,ifn_g_PHA_1,ifn_g_PHA_3,ifn_g_PIC_0,ifn_g_PIC_1,ifn_g_PIC_3,ifn_g_RSV_0,ifn_g_RSV_1,ifn_g_RSV_3,ifn_g_RV_1,ifn_g_RV_3,ifn_g_TT_0,ifn_g_TT_1,ifn_g_TT_3,il_10_CpG_0,il_10_CpG_1,il_10_CpG_3,il_10_CR_0,il_10_CR_1,il_10_CR_3,il_10_DM_0,il_10_DM_1,il_10_DM_3,il_10_LPS_0,il_10_LPS_1,il_10_LPS_3,il_10_MAB_1,il_10_MAB_3,il_10_PG_0,il_10_PG_1,il_10_PG_3,il_10_PHA_0,il_10_PHA_1,il_10_PHA_3,il_10_PIC_0,il_10_PIC_1,il_10_PIC_3,il_10_RSV_0,il_10_RSV_1,il_10_RSV_3,il_10_RV_1,il_10_RV_3,il_10_TT_0,il_10_TT_1,il_10_TT_3,il_12p40_CpG_0,il_12p40_CpG_1,il_12p40_CpG_3,il_12p40_LPS_0,il_12p40_LPS_1,il_12p40_LPS_3,il_12p40_PG_0,il_12p40_PG_1,il_12p40_PG_3,il_12p40_PIC_0,il_12p40_PIC_1,il_12p40_PIC_3,il_12p40_RSV_0,il_12p40_RSV_1,il_12p40_RSV_3,il_12p40_RV_1,il_12p40_RV_3,il_13_CR_0,il_13_CR_1,il_13_CR_3,il_13_DM_0,il_13_DM_1,il_13_DM_3,il_13_MAB_1,il_13_MAB_3,il_13_PHA_0,il_13_PHA_1,il_13_PHA_3,il_13_TT_0,il_13_TT_1,il_13_TT_3,il_4_CR_1,il_4_CR_3,il_4_DM_1,il_4_DM_3,il_4_MAB_1,il_4_MAB_3,il_4_PHA_0,il_4_PHA_1,il_4_PHA_3,il_4_TT_1,il_4_TT_3,il_5_CR_1,il_5_CR_3,il_5_DM_1,il_5_DM_3,il_5_MAB_1,il_5_MAB_3,il_5_PHA_1,il_5_PHA_3,il_5_TT_1,il_5_TT_3,il_8_CpG_0,il_8_CpG_1,il_8_CpG_3,il_8_LPS_0,il_8_LPS_1,il_8_LPS_3,il_8_PG_0,il_8_PG_1,il_8_PG_3,il_8_PIC_0,il_8_PIC_1,il_8_PIC_3,il_8_RSV_0,il_8_RSV_1,il_8_RSV_3,il_8_RV_1,il_8_RV_3,tnf_a_CpG_0,tnf_a_CpG_1,tnf_a_CpG_3,tnf_a_LPS_0,tnf_a_LPS_1,tnf_a_LPS_3,tnf_a_PG_0,tnf_a_PG_1,tnf_a_PG_3,tnf_a_PIC_0,tnf_a_PIC_1,tnf_a_PIC_3,tnf_a_RSV_0,tnf_a_RSV_1,tnf_a_RSV_3,tnf_a_RV_1,tnf_a_RV_3
ifn_a_CpG_0,1,0.035736059,0.151468469,0.06220436,0.027626346,0.127022504,0.075143982,0.015154544,0.098022377,-0.078290492,0.035441452,0.069404127,0.048363649,0.048369667,0.084393129,0.055770428,0.204524031,0.0772602,-0.043645821,-0.024564761,0.031901745,-0.046506208,0.021276092,0.028961131,0.004733567,0.136525801,0.068576899,0.007278656,0.031940353,0.000442626,0.147929991,0.083360118,0.01753725,0.098736218,0.103117319,0.037456816,0.10893777,-0.05334597,-0.007215463,-0.051323969,0.031618849,-0.060045516,0.05329222,-0.042420845,0.015110379,-0.031819369,-0.031332084,0.052362468,-0.067993633,-0.025243062,0.020697404,-0.012726489,-0.079902013,0.060466885,-0.023084307,-0.036353138,0.103257481,-0.075106205,-0.028765756,-0.045709772,-0.063478229,0.232049396,-0.109652872,-0.062325705,0.132551724,-0.044556473,-0.058198743,-0.022008073,-0.023723702,-0.06761589,0.095471936,-0.082310088,-0.063347259,0.062713171,-0.026661916,0.014070083,-0.033317254,-0.062175374,0.142400041,-0.000472793,-0.024760141,0.182766805,-0.003596274,0.035800547,0.196171665,-0.020348971,0.050135716,0.092624419,-0.002443276,0.027524392,0.005744784,0.052303652,0.01303973,0.078502099,0.022719289,0.038202864,0.031501471,-0.053742768,0.003881069,-0.000457803,-0.08203891,-0.081263848,-0.083045522,-0.012003019,-0.038806541,-0.066816353,0.031636395,-0.064242069,-0.113771271,0.030433083,0.005496186,-0.006600471,0.029311763,-0.06454488,-0.091423451,-0.055925947,-0.03794447,-0.053772394,-0.061578482,-0.093650576,0.057851717,-0.060426032,0.010644912,-0.065231135,-0.107534471,-0.070846763,-0.041673047,-0.077202401,-0.065716882,-0.093776425,0.075072425,0.06511811,-0.112011902,0.196395438,-0.09534603,-0.015716202,0.196792705,-0.139021787,-0.093048498,0.097439639,0.024017233,-0.124940432,0.153161876,-0.017794682,-0.117545078,0.018556792,-0.076407998,0.107068119,0.006327421,-0.02013088,0.191850826,-0.033863648,-0.024231618,0.228881977,0.000976844,-0.019955137,0.111126809,-0.026335024,-0.036814173,0.058973871,0.023819986,-0.061661756,0.16110702,0.006667726
ifn_a_CpG_1,,1,0.141399038,-0.065860993,-0.10868491,-0.108298927,-0.083083095,0.000322251,-0.055672081,0.327292581,0.059032348,-0.016239489,0.110715431,-0.006961986,0.415684977,0.032416201,-0.026072541,0.062333614,0.036227742,-0.007192169,-0.003190821,-0.063329912,-0.006054655,0.131299527,0.070712576,-0.091424853,0.022476792,0.076391517,0.05345622,-0.004926277,-0.035823614,0.092953248,0.015365902,-0.027028588,-0.04421423,-0.036630791,0.062167146,0.256357981,0.111506892,0.009367066,0.160400283,0.056681716,0.190770691,0.018250426,0.003826461,0.166444758,0.055199967,-0.036571963,0.394227482,0.056447188,-0.065386471,0.220428229,-0.03775758,-0.050973504,0.095895074,0.051167644,-0.113423268,0.160383342,0.131661078,0.191490262,0.032056853,-0.044073392,0.200382337,0.065033436,-0.005859578,0.218021684,-0.01758278,-0.031718659,0.107911709,0.140200816,0.043108833,0.109030294,0.043951698,0.148565765,0.07605519,-0.094760281,0.230239448,0.037208921,0.039685899,-0.067706856,0.007738865,-0.00781985,0.061202201,0.071659284,-0.012124097,0.048659705,0.085335489,0.021837754,0.115586805,0.154321697,0.047333369,0.017074937,0.0372328,-0.062936334,0.005786694,-0.047647622,0.0655927,-0.05578075,-0.068057764,0.203015476,0.059610098,0.161075491,-0.024473579,-0.015353467,0.123290567,-0.054108477,0.000833846,0.089575532,0.034746966,0.065311273,-0.098936253,0.153187115,-0.014161158,0.090629887,-0.032774495,0.035514023,0.096303034,-0.041449329,0.092602321,-0.010803284,0.025434677,-0.082479524,0.188612434,0.039590218,0.130117701,-0.048399495,0.103017855,-0.054432339,0.103100431,-0.006333439,0.016838964,-0.045458498,-0.019800432,-0.071818744,0.022698461,0.015360707,-0.040844603,0.065230216,0.03411977,-0.013282777,-0.093661068,-0.015381906,0.023873553,-0.038157643,-0.014201744,-0.052785627,0.016743387,0.070155739,0.437709875,0.046017794,0.002774879,0.194926163,0.050784134,0.026330726,0.195340275,-0.005962643,0.015410849,0.175519368,0.14026344,0.003602854,0.138419906,-0.011022527,0.203755145,0.042191252
ifn_a_CpG_3,,,1,0.060300543,-0.079012823,-0.045417604,0.021819087,-0.005507003,0.030588644,0.008990558,0.328701998,0.091658084,-0.063156961,0.070568023,0.12454325,0.386671451,0.052142331,-0.085725965,0.174904346,-0.000653867,0.013237107,-0.016550672,-0.01037233,-0.090346259,0.180572681,-0.061708251,-0.095853405,0.065275429,0.017004651,0.130085674,-0.061870272,-0.000362781,0.102314827,0.046584954,0.021650092,0.098495206,0.003169598,-0.001570895,0.261825508,0.00152784,-0.013089824,0.116506003,0.015978155,0.154058977,-0.011422931,0.035815661,0.224829787,-0.062917086,0.040594219,0.252394151,-0.144647335,0.02541167,0.034050995,-0.083901247,-0.020780949,0.048137302,0.033593782,0.070157198,0.061295236,0.006661743,0.132549725,0.107783983,0.011900408,0.062650674,-0.026744846,-0.016940917,0.144298569,-0.06800072,-0.010274553,0.076679381,0.053843748,-0.00966975,0.053927908,0.073333726,0.060340284,-0.058850894,0.044694458,0.210692671,0.161751091,-0.00688239,-0.034008182,-0.040012166,-0.071736138,-0.056412563,-0.016336406,-0.009832617,0.117482762,-0.032346872,-0.068951631,0.182851996,0.053944752,-0.033770503,0.067199328,0.011619254,-0.052475847,-0.010071814,-0.022671362,0.030186698,-0.052972945,-0.010655531,0.173984931,-0.009992056,0.115715934,-0.035134467,-0.001073877,0.10338989,0.015325357,-0.015873951,0.153655288,-0.025582116,0.053200288,-0.007452352,0.039109069,-0.010417218,0.00172887,0.005333771,0.030914713,0.045696324,-0.051280787,0.045836789,-0.035682238,0.006064497,-0.045005524,0.136823547,-0.041743636,0.059706685,0.003932378,0.093898251,0.002819981,0.089077144,-0.058132024,0.024087205,-0.172487855,0.018463441,-0.014363438,0.010447975,0.026099153,-0.038904134,0.016986093,-0.072290027,-0.004745739,-0.137846804,0.026268466,-0.015752545,-0.163005665,-0.038426071,-0.145650284,0.016937629,0.017443687,0.338819584,0.103414426,0.014698955,0.049439581,0.142518815,0.025021797,0.103373836,-0.023412898,-0.024499143,0.184613066,0.090831594,-0.108950449,0.035110169,0.06064145,0.243533648
ifn_a_LPS_0,,,,1,-0.041394255,0.119661411,0.6532401,0.072899616,0.05535865,-0.063890303,0.040580476,0.16444238,-0.019382282,0.08436684,-0.061671639,0.096022938,-0.038701313,-0.021635089,0.057225263,0.080144388,0.003774293,0.067535715,-0.010067379,-0.100888094,-0.014357746,0.08580999,-0.054211084,0.005961072,-0.030451272,0.059076065,-0.008114044,0.004683698,0.044000373,0.073221069,0.044251051,0.005509877,-0.000980679,-0.048713105,0.03072664,0.01621915,0.000871472,0.038879454,-0.033173981,0.078307141,0.08890131,-0.050452729,0.042164969,-0.100875872,-0.055984459,0.007868503,-0.027712918,-0.104977763,0.05446046,0.004449545,-0.136380762,0.02210829,0.133811321,-0.048289198,-0.010495486,-0.035675,0.084768748,0.070065553,0.003178927,0.066486169,0.022714568,-0.010429992,0.049633258,-0.00275626,-0.030113663,0.025986304,0.086058731,-0.071743194,0.056383484,0.015093929,0.043767231,0.040122021,-0.095071991,0.060013415,-0.01489506,0.038961841,0.059981517,-0.021871493,0.002024667,0.054228484,-0.052607461,0.037777376,0.053995604,-0.026223063,-0.073592708,0.017037036,-0.044119895,0.04640212,0.152931201,0.058871003,0.098142287,0.077469651,-0.024971204,0.043972502,0.013787052,-0.094490986,-0.016711773,-0.038926048,0.05834481,0.06117675,0.037755387,0.012537488,0.055290046,-0.05682412,0.063767529,0.022806669,0.05268359,-0.046050929,-0.002714885,-0.048742417,0.058256496,-0.034131046,0.052538555,-0.011583271,-0.041792181,0.023756639,-0.013275444,0.026868781,-0.092498243,-0.037989311,-0.03700482,0.050244292,0.026876943,0.018334282,-0.070250556,0.061258735,-0.038091577,0.025029894,0.025231578,0.088776822,-0.06295523,-0.005887266,0.050321926,-0.053008719,0.048546586,-0.048203073,0.077454815,0.062071689,-0.031036604,-0.04297392,0.036614469,0.026079412,-0.02094471,-0.06124658,-0.027441255,0.058126093,0.245661434,-0.02697659,0.043141605,0.158013968,0.028577654,0.045968043,0.005288962,-0.049752615,0.038625041,0.036948947,0.011382718,0.087336431,0.006957877,0.097205418
ifn_a_LPS_1,,,,,1,0.002588115,-0.040424578,0.103940656,0.102804195,-0.089185889,-0.075354952,0.004301566,0.154027387,-0.010291044,-0.100410455,-0.03877374,0.03598171,0.145290698,-0.040617811,0.007676761,-0.033259975,0.020943139,0.02503829,0.031238861,-0.047788159,0.056359496,0.001283121,-0.039163251,-0.032573038,-0.033980477,0.052657971,-0.015371669,-0.085920404,0.047993884,0.021463076,-0.05380455,0.066386949,-0.027448955,-0.070898863,0.001136414,-0.084461547,-0.065687276,-0.00859901,-0.075006473,0.003198907,-0.018192004,0.018807886,0.016598376,-0.082988941,-0.032224274,0.047567732,-0.038191046,-0.048137487,0.022707399,0.025319297,-0.087008652,0.024974221,-0.229010075,-0.105305577,-0.021800552,-0.091736274,0.009788496,-0.041172034,-0.074555264,0.049311356,-0.040848929,-0.071529403,0.01826506,0.168508215,-0.094039172,-0.035627618,0.038793234,-0.048774358,0.023782676,-0.061980841,0.041151897,-0.026862961,-0.014588432,-0.023167331,-0.040381234,-0.058840251,0.04489682,-0.20162245,-0.043508312,0.04524713,-0.10282764,-0.105737996,0.040336727,0.077149466,-0.078648708,-0.030244114,-0.024318435,-0.053256996,-0.040493654,-0.002034116,0.029527062,-0.000945889,0.005561275,0.043202369,-0.013108857,-0.036130321,-0.059149128,-0.040536038,-0.00718278,-0.024129073,-0.054679411,-0.00376717,-0.011916226,0.030172845,0.000899666,0.00416907,0.049795161,0.018943768,-0.054628321,-0.04755104,-0.057730013,-0.069719391,-0.085763906,0.05606302,0.06589438,0.004408538,-0.00917088,0.034870738,-0.036796206,-0.026684029,-0.030128797,-0.014618156,-0.044965631,0.04012432,0.053099878,0.044622413,0.0347242,-0.038932142,0.037871284,-0.017810855,-0.048098227,0.026326537,-0.049315635,-0.044824749,0.083959491,0.043553882,-0.069112799,0.032413083,0.032301807,-0.027561924,0.037271996,-0.047498692,-0.014385986,-0.006882337,-0.044151134,-0.012501292,-0.280178814,-0.095073703,-0.047635132,-0.0496829,-0.076819917,0.030887343,0.114029889,-0.059062113,-0.000311936,0.027523893,-0.02991872,0.049026587,-0.100617692
ifn_a_LPS_3,,,,,,1,0.12984387,0.067730783,0.030724397,-0.073133173,0.041754912,0.112575702,-0.00478933,0.134997623,-0.102567267,0.049447367,0.081008301,0.001206354,0.026132027,0.067897568,0.061335734,0.113090872,0.021329037,-0.058814954,-0.026151429,0.032933237,0.010602678,-0.005172495,-0.087992624,0.016814333,0.060802613,0.067868198,0.137938542,0.072177016,0.083247362,0.148376471,0.021974703,-0.128303485,-0.023259139,0.013779297,-0.02456084,0.007618273,-0.07683793,-0.039494311,0.097004144,-0.076047848,-0.098499523,-0.030639024,-0.136420949,-0.133103967,0.03090331,-0.089060351,-0.039614732,-0.02344114,-0.089132764,-0.115144943,0.064261548,-0.151576861,-0.174230887,-0.217471749,-0.137434944,0.020200704,-0.144824184,-0.135234839,0.020400838,-0.104404954,-0.052304031,-0.020719188,-0.103543227,-0.081261751,0.019174831,-0.136884542,-0.070873906,-0.116656182,-0.071614746,0.052683017,-0.124554981,-0.151056281,0.018239859,0.075595362,0.041919553,-0.098774239,0.004735145,0.066259402,-0.044506586,-0.012841533,0.128234423,-0.105445689,-0.11974454,0.032250535,-0.132328564,0.065239785,0.149891618,0.090489895,0.086828312,0.153366158,0.021495925,0.102110333,0.043162771,-0.142790983,-0.062914831,-0.154131511,-0.089367786,0.048753562,-0.020591606,0.012491757,0.037432159,-0.12229048,-0.108150932,0.006451776,0.107696285,-0.113818641,0.012429526,-0.118551906,-0.080411449,-0.040231681,0.001023209,0.003408197,-0.126667145,-0.100020829,0.043991101,0.047982851,-0.135657891,-0.110217476,-0.169755061,-0.054640002,-0.067829027,0.020491385,-0.118915356,-0.120187277,-0.035468186,0.079598976,-0.005101191,0.023427912,-0.156977492,-0.113053498,-0.001217869,-0.101720365,-0.145456593,-0.053236857,0.11161169,-0.014719654,-0.098893963,0.053407359,-0.097120849,0.13149786,-0.121778031,-0.042432024,0.0068397,0.042233767,0.112208012,-0.074711989,-0.017263237,0.020676654,0.027285691,0.188579127,-0.052014702,-0.041676059,0.053157006,0.001235639,0.110250502,0.139541098,-0.017261045,-0.001748836
ifn_a_PG_0,,,,,,,1,0.05629412,-0.002140374,-0.069463104,-0.00180624,0.160323533,0.004309421,0.063389683,-0.047304559,0.032983519,-0.047836775,-0.029622596,0.044539998,0.056413022,0.02644191,0.056799949,0.008376483,-0.075089708,-0.03702294,0.050012338,-0.049147409,0.029701823,-0.053459901,0.057999731,0.001103734,0.041614153,0.061020461,0.048656568,0.034450611,0.007981784,-0.064657791,-0.056789883,0.035124155,0.071039224,-0.047419705,0.004307047,-0.027756365,0.082534517,0.080534662,-0.060865395,-0.010881326,-0.105799959,-0.080613272,-0.007732427,-0.029645101,-0.098371937,0.048318839,-0.022734192,-0.088861387,0.024653992,0.073766351,-0.055390627,-0.011779088,-0.055807214,0.049139426,0.000234787,-0.021013574,0.061889515,-0.026614991,-0.017590478,0.050084097,-0.021234135,-0.032551662,0.006720046,0.0362331,-0.099281647,0.033079251,-0.008025067,0.043239751,0.003865312,-0.092659949,0.042624519,-0.038108576,0.024895142,0.030139182,-0.095416826,-0.010140694,0.058126768,-0.063970306,0.008651007,0.065523879,-0.047629172,-0.051330834,0.024107322,-0.063808274,0.011757622,0.114171285,0.050147176,0.057284921,0.052861127,-0.000291768,0.039865912,0.04116085,-0.074044951,-0.05045133,-0.054146669,0.030644496,0.027410367,0.009830462,-0.007700071,0.064126305,-0.040198384,0.020260104,0.05008349,0.083745918,-0.021731785,0.014145424,-0.081730446,0.028740371,-0.065277782,0.048494041,-0.011933231,-0.050705937,0.005077315,0.023946741,0.015137666,-0.065539832,-0.056060971,-0.066808568,0.027626038,0.003271109,-0.00408327,-0.042240654,0.025757723,-0.058945886,0.011341456,0.003351344,-0.000611385,-0.077305061,-0.042700862,-0.029106686,-0.107274827,0.008134795,-0.047584007,0.071450549,0.02518302,-0.045841871,-0.054051141,0.024255473,0.005886184,-0.000602225,-0.070206337,-0.036072083,0.046788747,0.077712012,-0.023810475,0.036890636,0.102928684,0.016728711,0.072972567,0.000929146,-0.039070484,0.03609456,0.02932794,-0.003143864,0.06763246,0.029631793,0.08865589
ifn_a_PG_1,,,,,,,,1,-0.040408548,0.002657455,-0.015816617,0.014960974,0.122538502,0.048097963,-0.043071105,0.006748745,0.007242173,0.012446177,-0.026748963,0.015829225,-0.055344173,0.051056702,-0.036458947,-0.042373464,0.042473273,-0.038987421,-0.04203469,-0.010271835,-0.030023192,-0.03285844,-0.019804161,-0.031727188,0.031475676,-0.02667513,-0.051250759,-0.094360886,-0.022782256,-0.045590317,0.035709506,0.009331541,-0.04724449,0.012949919,0.012183631,-0.047429737,-0.01646852,-0.087956145,-0.000175926,-0.085726153,0.008753121,0.007862513,0.033616106,-0.020330546,0.023424942,-0.075768578,-0.023562429,-0.005087029,0.02019514,-0.030523953,-0.075733196,0.025212892,-0.048206623,0.013558687,0.014241795,-0.023936144,-0.049568543,0.021815562,-0.107168477,-0.08313682,0.110596234,-0.012346517,-0.021122756,-0.005366954,0.02890479,0.021785991,-0.016874896,-0.010073522,-0.024839253,-0.012101667,0.011932417,-0.078589618,-0.01863553,-0.073273734,-0.085828597,0.007456742,-0.079321602,-0.193798168,0.021081792,-0.029482716,0.031825912,0.077425599,-0.08497983,-0.06025457,0.068561562,-0.056822328,0.054334097,-0.036384048,-0.051489901,0.022364259,-0.00247074,-0.032958733,0.048354642,-0.001894481,-0.076004074,-0.063765259,-0.048356142,-0.100878658,-0.011279216,-0.031661848,-0.012757081,0.01258057,0.052042024,0.005011095,0.053980275,-0.002141184,-0.041420296,-0.107788477,-0.022699749,-0.10601516,-0.037892766,-0.01916379,-0.031378096,0.003369355,-0.024804351,0.043259215,-0.003072,-0.066911976,-0.051922985,-0.105969897,-0.059018293,0.002402366,-0.017420589,0.055365205,-0.031615158,0.006510836,0.013090853,-0.077329519,-0.006486923,0.005242792,-0.095422581,-0.014890247,0.06537269,0.004136632,-0.034911252,0.004832802,-0.054904594,0.007246217,-0.031072751,-0.014510431,0.052038642,-0.015837443,0.061452553,-0.066711212,-0.040533997,0.022026407,0.099444842,0.01498588,-0.055382043,0.077096225,0.02707466,-0.010210007,0.038116313,0.0281144,0.078151371,0.019246905
ifn_a_PIC_0,,,,,,,,,1,0.137647116,0.227335501,0.08205649,0.009346278,-0.038196329,0.005435365,0.150382923,0.133124515,0.047447387,0.025007705,-0.022312263,0.029703152,-0.083286163,0.045473723,-0.017648165,-0.011584439,0.223998696,-0.023983011,-0.014125107,-0.037700274,0.013955493,0.094977243,-0.01344318,-0.042908065,0.187566252,0.072962728,0.045315903,0.280569446,-0.028570084,0.023158173,-0.018015305,0.011303187,0.012492049,-0.062789266,0.047206984,0.00884925,0.01596471,0.000216065,0.265898232,-0.035885086,0.026673776,0.044200789,-0.015924291,-0.088528517,0.202579083,0.040429918,-0.051583791,0.341214791,0.005481969,0.039837403,0.015782983,0.035332095,0.296022635,-0.001873071,0.023101734,0.251767614,0.018919861,0.110210851,0.302006013,0.030870359,-0.027075102,0.170374065,-0.015591183,-0.010821098,0.028014292,0.041593891,0.152394995,-0.005977508,-0.06128531,0.138168935,0.046509788,-0.009201638,0.297150529,-0.021320643,-0.110429941,0.273002203,0.015239721,-0.02836735,0.268372997,-0.005096157,-0.04648602,0.160614149,-0.0272803,-0.02299452,0.031062501,-0.098583065,0.105374887,0.035533455,-0.011900752,0.114406016,-0.039963497,0.020095513,-0.001931353,0.126318525,0.203553261,0.063935985,0.138323554,0.113031039,0.026236841,0.018171535,0.059598736,-0.018766162,0.014162933,-0.045128893,-0.018139453,0.056127723,0.157156398,0.046515194,0.109101145,0.010683439,0.004857397,0.027461856,-0.036140298,-0.029077292,-0.042860763,-0.037568038,0.135410042,0.022676735,0.134476044,-0.003360199,0.032483166,0.158318727,0.031915976,0.01086276,0.331394209,0.026913071,0.052670546,0.315887985,0.021604094,0.081887718,0.119805834,0.009974086,-0.02753258,0.168112201,0.041280919,0.010279476,0.017408242,-0.071232132,0.179800548,-0.000736944,0.004002735,0.27913532,-0.010047462,-0.008371335,0.252627915,0.022324581,0.030650923,0.33307461,0.06866376,0.043698242,0.120593841,-0.022827,-0.003778563,-0.003977983,-0.032045433
ifn_a_PIC_1,,,,,,,,,,1,0.180743712,-0.047149909,0.080331929,0.037544339,0.275397024,0.033104126,-0.052299072,0.028060768,0.08181391,0.000872413,-0.059051887,0.028004851,0.008341357,0.051242777,0.111216606,-0.045147013,0.119853349,0.073869816,0.120414152,0.030902062,-0.033385163,0.086933451,0.034694678,0.024452927,0.065734676,0.049107546,0.036414053,0.299565918,0.122470742,-0.011538183,0.105358316,0.068282691,0.100421062,0.038728683,0.012880841,0.138092556,0.06400599,-0.010066477,0.247187674,0.043763175,-0.027523847,0.166978086,0.031285948,0.004866064,0.117538504,0.054534091,-0.023192712,0.341643766,0.159219359,0.272970463,0.08203246,-0.018096113,0.297217682,0.087460387,0.024787908,0.266953593,0.059638632,0.006993278,0.123555001,0.146674801,-0.029421822,0.176165688,0.110221107,0.087683701,0.072954804,-0.013375099,0.183419942,0.041590034,0.107677363,-0.01776201,0.052054111,-0.020980791,0.145689453,0.053910832,-0.001130051,0.160375161,0.057396517,-0.02087182,0.15311349,0.13946516,0.010093592,0.030588527,0.065525284,-0.040353166,0.033103575,-0.030614108,0.01623423,-0.031033223,-0.052795855,0.162630435,0.062480732,0.245705111,0.057199912,0.070053224,0.182745848,0.057616508,0.004033311,0.183020858,0.089588132,0.022530764,-0.029675002,0.066532524,-0.03472016,0.181671044,0.021164545,0.103368686,0.157600362,0.023918376,0.130455258,0.039178574,-0.034124248,-0.009565663,0.092902524,0.081156256,0.249640815,0.045661217,0.181057518,0.054641175,0.152697171,0.064638653,-0.031753267,-0.015930152,0.025635582,-0.000325379,0.176384491,0.082587021,0.035425228,0.19904789,0.118425491,-0.031592005,-0.065037281,0.066262383,-0.044242582,0.074045724,0.064666979,-0.018622975,0.015142915,0.019339018,0.170030212,0.008506168,0.022673827,0.325342645,0.090841472,0.057463213,0.25838118,0.024557945,-0.005021214,0.222059702,0.147527112,-0.04913991,0.105204718,0.057584781,0.060951307,0.011982158
